Country	Operator	Network	CC	MCC	MNC	OperatorId	Command	
Afghanistan	AWCC	AWCC	93	412	01	2	Edit	
Afghanistan	Afghan Telecom	Salaam Network	93	412	80	1624	Edit	
Afghanistan	Afghan Telecom	Salaam Network	93	412	88	1624	Edit	
Afghanistan	Etisalat Afghanistan	Etisalat Afghanistan	93	412	50	3	Edit	
Afghanistan	MTN Afghanistan	MTN Afghanistan	93	412	40	1	Edit	
Afghanistan	TDCA	Roshan	93	412	20	4	Edit	
Afghanistan	Unallocated prefix	Unallocated prefix	93	n/a	n/a	5	Edit	
Albania	AMC	AMC	355	276	01	6	Edit	
Albania	Eagle Mobile	Eagle Mobile	355	276	03	1058	Edit	
Albania	Unallocated prefix	Unallocated prefix	355	n/a	n/a	7	Edit	
Albania	Vodafone Albania	Vodafone Albania	355	276	02	8	Edit	
Algeria	ATM Mobilis	Mobilis	213	603	01	9	Edit	
Algeria	Ooredoo Algeria	Nedjma	213	603	03	12	Edit	
Algeria	Orascom Algeria	Djezzy	213	603	02	10	Edit	
Algeria	Unallocated prefix	Unallocated prefix	213	n/a	n/a	11	Edit	
American Samoa	American Samoa Telecom	American Samoa Telecom	1684	544	998	13	Edit	
American Samoa	Blue Sky Communications	Blue Sky Communications	1684	544	11	14	Edit	
American Samoa	Unallocated prefix	Unallocated prefix	1684	n/a	n/a	15	Edit	
Andorra	STA	Mobiland	376	213	03	16	Edit	
Andorra	Unallocated prefix	Unallocated prefix	376	n/a	n/a	17	Edit	
Angola	Movicel Angola	Movicel Angola	244	631	03	18	Edit	
Angola	Movicel Angola	Movicel Angola	244	631	04	18	Edit	
Angola	Unallocated prefix	Unallocated prefix	244	n/a	n/a	19	Edit	
Angola	Unitel Angola	Unitel Angola	244	631	02	20	Edit	
Anguilla	C&W Anguilla	C&W Anguilla	1264	365	840	21	Edit	
Anguilla	Unallocated prefix	Unallocated prefix	1264	n/a	n/a	22	Edit	
Anguilla	Wireless Ventures Anguilla	Digicel Anguilla	1264	365	50	23	Edit	
Antigua & Barbuda	APUA PCS	APUA PCS	1268	344	30	25	Edit	
Antigua & Barbuda	APUA PCS	APUA PCS	1268	344	030	25	Edit	
Antigua & Barbuda	Antigua Wireless Ventures	Digicel Antigua	1268	344	930	24	Edit	
Antigua & Barbuda	C&W Antigua	C&W Antigua	1268	344	920	1390	Edit	
